,a,b,c,d,e,f,g,h,i,renzhen,weibo_num,gzl,fsl
723,牛股分析师_刘莹丽,:个股利好：中国化学签订62亿元电站工程总承包合同；中国铁建中标27亿BOT项目；东华科技中标10亿元PPP项目；达实智能中标1.47亿元智慧医疗项目；远大智能中标1.22亿元项目；航天机电减持国泰君安获利1.72亿元；东方通获中国大数据产业应用协同创新联盟黑马奖；豫光金铅定增获批；云南能投、天翔环境、?全文,11月23日 09:35?来自360安全浏览器,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5885459314,长江证券股份有限公司 职员,微博[216],关注[1182],粉丝[264]
724,平顶山XX网,:【大数据助力农牧业转型升级】本报讯（记者袁媛远）为加速大数据建设在传统农牧业的应用落地，打通整个农牧产业链的上下游数据，11月14日，全市农牧系统组织全体干部职工来到陇南市大数据政务中心培训学习。大数据助力农牧业转型升级,11月23日 09:34?来自WeiInf,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1224440782,,微博[290],关注[63],粉丝[96]
725,身体卫士,:脂老虎酶控减脂技术，创造了一个历史新奇迹，两个月减脂100斤，冲击新纪录。健康减脂运动，缓解2型糖尿病，消除脂肪肝已经在大健康产业要实现的前夜。根据中国健康大数据概况: “在总人口为13亿多的中国人中，中国高血压人口有1.6～1.7亿人，高血脂的有将1亿多人，糖尿病患者达到9240万人，超重或者肥?全文,11月23日 09:30?来自360安全浏览器,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5974578708,北京壹零零壹技术有限公司 脂老虎官方微博,微博[119],关注[213],粉丝[32]
726,港城环保,:【连云港市战略环境评价通过环境保护部验收】连云港市战略环境评价是环境保护部组织开展的第一个地级市战略环评试点，近日通过了环境保护部组织的专家论证暨验收。　　一年多来，连云港市大力推进试点工作，在空间环境管理理论和实践、环境管理与大数据平台有机结合、区域污染物总量动态管理机制探索?全文,11月23日 09:29?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3120070141,认证：连云港市环保局官方微博,微博[8761],关注[371],粉丝[18456]
727,雕刻ING,【写给大数据开发初学者的话】经常有初学者在博客和QQ问我，自己想往大数据方向发展，该学哪些技术，学习路线是什么样的，觉得大数据很火，就业很好，薪资很高。。。。。。。写给大数据开发初学者的话（来自： lxw的大数据田地 ）,11月23日 09:28?来自iPhone 6s,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1712480852,一人一梦一生,微博[4233],关注[208],粉丝[171]
728,天津城乡建设,:#各地动态#台州市将推进治危拆违7大专项行动 　在“大数据”时代之下，台州市将推广居住出租房“旅馆式”管理模式，应用信息化管理手段，通过安装管理系统、运行微信公众号，并在居住出租房张贴“二维码”等形式，把分散的居住出租房连接成“加盟式”旅馆，利用“大数据”优势，加强对比分析，实现信?全文,11月23日 09:28?来自微博 weibo.com,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/tjjsjt,认证：天津市城乡建设委员会官方微博,微博[6886],关注[118],粉丝[112367]
729,贵阳大数据交易所,:【日本第四次产业革命 瞄准物联网、大数据和人工智能】去年，日本首相安倍晋三提出新的经济成长目标，2020年日本国内生产总值要达到600万亿日元。为支撑该目标，日本经济产业省提出第四次产业革命战略，这一战略的核心技术方向有三个，即物联网、大数据和人工智能。日本第四次产业革命 瞄准物联网、大数据和人工智能,11月23日 09:28?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/GBDEx,认证：贵阳大数据交易所官方微博,微博[302],关注[117],粉丝[78]
730,张雅溥,:个股信息，利好：$中国化学 sh601117$ 签订62亿元电站工程总承包合同；$中国铁建 sh601186$ 中标27亿BOT项目；$东华科技 sz002140$ 中标10亿元PPP项目；$达实智能 sz002421$ 中标1.47亿元智慧医疗项目；远大智能中标1.22亿元项目；航天机电减持国泰君安获利1.72亿元；东方通获中国大数据产业应用协同创?全文,11月23日 09:27?来自微博 weibo.com,no,yes,赞[3]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/zhizhiniu,认证：广州穗富投资管理有限公司市场总监,微博[20956],关注[3823],粉丝[54077]
731,草原放飞,:『逃离你终将衰落的家乡：大数据城市人口分析』逃离你终将衰落的家乡：大数据城市人口分析,11月23日 09:27?来自三星GALAXY A,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2806908062,,微博[24102],关注[551],粉丝[307]
732,宁夏手机报,:【银川市成立大数据管理服务局】大数据管理服务局主要为智慧银川数据采集、应用、安全等服务。银川市编办一负责人告诉记者，成立大数据管理局，将对全市大数据产业发展、集聚大数据资源、挖掘大数据价值、创新大数据应用，推动产业转型升级和经济跨越发展等都将发挥重要作用。银川市成立大数据管理服务局,11月23日 09:25?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/nxsjb,认证：宁夏手机报,微博[7439],关注[254],粉丝[12208]
733,c窗边人,:总有人习惯一副病体，觉得自己久病成医，时时刻刻带着瓶瓶罐罐的药，非常廉价，而且已经大数据被证实不是特别有用的药，他们可能长时间吃那种药了，身体和精神上产生了严重的依赖性，总觉得那些药片药丸和他们的性命息息相关。不敢去医院检查，并不仅仅是怕花钱，而是不敢直面自己可能患有的疾病。有?全文,11月23日 09:25?来自荣耀7 世界有点不同,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2671851567,我一直在窗边，只要你回头看见。,微博[1824],关注[280],粉丝[645]
734,华东江苏大数据交易中心,:【寒潮大数据帮你解读生意经】：受拉尼娜事件影响，今冬成为冷冬是大概率事件，偏冷的概率约七成。而从大数据分析，寒潮也将从各个方面对经济带来影响。 （分享自 @网易新闻） 寒潮大数据帮你解读生意经：温度降得快，生意人反应更快,11月23日 09:24?来自网易新闻,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/bigdatahd,认证：华东江苏大数据交易中心官方微博,微博[1880],关注[122],粉丝[550]
735,刘新看市,:个股信息：中国化学签订62亿元电站工程总承包合同；中国铁建中标27亿BOT项目；东华科技中标10亿元PPP项目；达实智能中标1.47亿元智慧医疗项目；远大智能中标1.22亿元项目；航天机电减持国泰君安获利1.72亿元；东方通获中国大数据产业应用协同创新联盟黑马奖；友邦吊顶年报拟10派5；豫光金铅定增获批；?全文,11月23日 09:24?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5303730991,认证：广州万惠投资管理有限公司职员,微博[7941],关注[2478],粉丝[27345]
736,中云大数据,:发表了博文《大数据的那些八卦事儿--从史前时代到三驾马车_厦门数据分析师培训_中云网胜》大数据这个概念红红火火的也有两三个年头了，我在这个坑里的时间可能要更长一些，勉强可以从08年开始算。所谓年头待得大数据的那些八卦事儿--从史前时代到三驾马车_厦门数据分析师培训_中云网胜,11月23日 09:23?来自新浪博客,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/xmcpda,认证：厦门中云网胜科技有限公司,微博[751],关注[57],粉丝[14061]
737,百家财富网,黑龙江省容维证券数据程序化有限公司历时数月，在技术团队努力攻坚、通力协作下，一项填补国内投资界空白的大数据应用数据化新产品“未来K线”已经开发完成并完成内测。现宣布公司未来K线新产品从2016年11月11日起正式对外提供数据服务。http://t.cn/Rfq2AQ8,11月23日 09:23?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/donghaichuan,认证：黑龙江省容维证券数据程序化有限公司,微博[6580],关注[1204],粉丝[3266]
738,督院街社区,:【成都获评“2016中国领军智慧城市”】#小微有态度#在2016亚太智慧城市颁奖评选活动中，成都脱颖而出被评为“2016中国领军智慧城市”。近年来，成都以标准促智能，着力改善提升网络基础设施，加强大数据发展顶层设计和制度建设，加强网络信息安全管理，加快大数据企业培育与载体建设，加快智慧城市建设,11月23日 09:22?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3820179133,认证：四川省成都市锦江区督院街社区居委会官方微博,微博[4518],关注[1977],粉丝[1439]
739,慧眼大数据,:[抱抱_旧][耶]【成都获评“2016中国领军智慧城市”】#小微有态度#“2016亚太智慧城市发展高峰论坛”近日在深圳举行。在2016亚太智慧城市颁奖评选活动中，成都脱颖而出被评为“2016中国领军智慧城市”。近年来，成都以标准促智能，着力改善提升网络基础设施，加强大数据发展顶层设计和制度建设，加强网?全文,11月23日 09:22?来自专业版微博,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/unicomeyes,认证：北京思特奇信息技术股份有限公司,微博[1754],关注[240],粉丝[397]
740,西瓜大丸子汤,:fintech里，大数据，机器学习、征信、风控是重灾区，碰都不要碰。,11月23日 09:22,yes,no,赞[5]</a>,转发[14]</a>?<a ,评论[27]</a>?<a ,http://weibo.cn/xiguadawanzitang,科学，工程，人文，带娃,微博[25018],关注[582],粉丝[34891]
741,易订货,:#B2B# #SaaS# 国外有学者提出过“工具先行”的理念，即B2B平台利用工具来吸引卖家或买家，发布一个SaaS应用程序，允许企业之间进行互动交流，从而拉动交易。近几年兴起的B2B平台，以信息技术和大数据应用，为供应链上下游创造了更多的接口，不仅简化了企业间的交易方式，更满足了中小企业对“互联网+”?全文,11月23日 09:21?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5148747910,认证：深圳市铱云云计算有限公司,微博[273],关注[30],粉丝[802]
742,宏盛投资-高级分析,:个股利好：中国化学签订62亿元电站工程总承包合同；中国铁建中标27亿BOT项目；东华科技中标10亿元PPP项目；达实智能中标1.47亿元智慧医疗项目；远大智能中标1.22亿元项目；航天机电减持国泰君安获利1.72亿元；东方通获中国大数据产业应用协同创新联盟黑马奖；豫光金铅定增获批；云南能投、天翔环境、?全文,11月23日 09:19?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3988955068,认证：宏盛财富投资有限公司,微博[2031],关注[1553],粉丝[5075]
743,慧眼大数据,":[威武][围观]【个人大数据量化生活，企业大数据量化发展趋势】大数据已经在生活和工作的方方面面都改善着我们的一切，而现在一个非常时髦的词汇来形容大数据的此类影响的，那就是""量化生活""，顾名思义，其实就是我们这些普通用户通过... http://t.cn/RfaduYG",11月23日 09:19?来自专业版微博,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/unicomeyes,认证：北京思特奇信息技术股份有限公司,微博[1754],关注[240],粉丝[397]
744,成华区经科局,:在2016亚太智慧城市颁奖评选活动中，成都脱颖而出被评为“2016中国领军智慧城市”。近年来，成都以标准促智能，着力改善提升网络基础设施，加强大数据发展顶层设计和制度建设，加强网络信息安全管理，加快大数据企业培育与载体建设，加快智慧城市建设,11月23日 09:17?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3586569224,认证：成都市成华区经济和科学技术局官方微博,微博[8498],关注[397],粉丝[1634]
745,中国计算机学会CCF,:2016年11月17日，CCF协同计算专业委员会走进广东工业大学，CCF协同计算专委会副主任、华南师范大学教授汤庸应邀作了题为《学术社交网络及大数据研究与应用实践》的学术报告[赞]http://t.cn/RfoCpC0,11月23日 09:17?来自360安全浏览器,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[1]</a>?<a h,http://weibo.cn/ccforgcn,认证：中国计算机学会,微博[4115],关注[277],粉丝[12473]
746,每日一股-闪电黑马,:个股利好：中国化学签订62亿元电站工程总承包合同；中国铁建中标27亿BOT项目；东华科技中标10亿元PPP项目；达实智能中标1.47亿元智慧医疗项目；远大智能中标1.22亿元项目；航天机电减持国泰君安获利1.72亿元；东方通获中国大数据产业应用协同创新联盟黑马奖；豫光金铅定增获批；云南能投、天翔环境、众?全文,11月23日 09:14?来自微博 weibo.com,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/51taoxixi,http://live.macd.cn/room?rid=25,微博[1246],关注[163],粉丝[191]
747,Movingforwardtofuture,:现在广大农村已经看到颓势了，很多乡村已经开始消失。平时，在乡镇上几乎看不到多少人。只有在过年的时候，家里的街上到处是人。家乡似乎已经变成了旅馆。『逃离你终将衰落的家乡：大数据城市人口分析』逃离你终将衰落的家乡：大数据城市人口分析,11月23日 09:12?来自乐1s,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3221286987,,微博[267],关注[177],粉丝[56]
748,辽宁地税,#税局提示# 【税务大数据预警风险提示，您一定要掌握的几个重点在这里~~】营业税改增值税以后，所有行业都纳入到增值税行业，这意味着可以采集到国民经济每一根毛细血管的数据，这是我国具备数字化管理的重要前提。关注 ▌税务大数据预警风险提示，您一定要掌握的几个重点在这里~~,11月23日 09:12?来自微博 weibo.com,no,yes,赞[0]</a>,转发[2]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1721397022,认证：辽宁省地方税务局官方微博,微博[6016],关注[86],粉丝[47155]
749,慧眼大数据,":[威武][疑问]【当大数据”邂逅”云计算 Cloudera有哪些应变？】IT业界有两大发展潮流，一个是大数据产业将颠覆传统的商业模式，另一个是云计算将改变传统的IT架构服务方式。那么当大数据""邂逅""云计算，它们会擦出怎样的""爱情""火花呢？http://t.cn/Rfakklh",11月23日 09:12?来自专业版微博,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/unicomeyes,认证：北京思特奇信息技术股份有限公司,微博[1754],关注[240],粉丝[397]
750,鄂尔多斯新闻网,:#亮丽内蒙古#【[内蒙古的全国第一]大数据云计算中心服务器 装机能力达70万台】我区全面启动大数据云计算战略。目前大数据云计算中心基础实力雄踞全国首列：全区光缆总长度42万公里，互联网宽带接入端口890万个，设立了内蒙古国际出口局，形成了通达国际、国内的高速宽带网络。via @内蒙古日报 ?全文,11月23日 09:12?来自微博 weibo.com,no,yes,赞[1]</a>,转发[3]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/34805299,认证：鄂尔多斯新闻网www.ordosnews.com官方微博,微博[13400],关注[362],粉丝[38703]
751,华东江苏大数据交易中心,:#华东快讯#【阿尔妮塔人工智能创投机器人正式发布：智能大数据 解放投资人】2016年已开启倒计时，“人工智能”注定是这一年的关键词。从再掀人机大战的AlphaGo到双创周的吉祥物创特，各类科幻影视精彩纷呈、各大科技巨头加紧布局、各国政策积极支持，人工智能经过多年发展已迎来应用黄金时代，在各领域?全文,11月23日 09:08?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/bigdatahd,认证：华东江苏大数据交易中心官方微博,微博[1880],关注[122],粉丝[550]
752,分析师-张霆,:关注个股利好：   中国化学签订62亿元电站工程总承包合同；中国铁建中标27亿BOT项目；东华科技中标10亿元PPP项目；达实智能中标1.47亿元智慧医疗项目；远大智能中标1.22亿元项目；航天机电减持国泰君安获利1.72亿元；东方通获中国大数据产业应用协同创新联盟黑马奖；友邦吊顶年报拟10派5；豫光金铅定?全文,11月23日 09:07?来自360安全浏览器,no,yes,赞[2]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/275605511,认证：深圳合众财富金融投资管理有限公司 职员,微博[11435],关注[143],粉丝[57057]
753,天地日月_g7i,:地理信息应用广，基础测绘立根基。军事航天定位准，打仗发射得胜利。社会民用做导航，想去哪里到哪里。政府运用做决策，科学发展无异议。企业使用大数据，把握市场好供给。城市管理信息化，地理信息为第一。如今构建大测绘，应用覆盖天人地。,11月23日 09:07?来自华为Ascend Mate7,no,yes,赞[3]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1342246652,认证：全国政协委员徐德明,微博[6862],关注[1845],粉丝[45078]
754,晨影飞扬,【不同年龄人群最爱表情出炉，你怎么看？】近日，中国人民大学新闻与社会发展中心、搜狗输入法大数据团队联合发布了《中国网民的信息生产及情感价值结构演变报告》，报告验证了不同年龄段的人在使用表情包时的群体性特征。对此，你怎么看？[二哈][二哈],11月23日 09:07?来自红米Note 3,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/6020564441,,微博[28],关注[93],粉丝[19]
755,不一样的缘生,:【长沙气温骤降 连卖烤红薯的大爷也悄悄提了价(图)】　　寒潮大数据帮你解读生意经：不仅仅是涨跌那么简单 　　11月22日，荷花池菜市场。受寒潮影响，蔬菜价格普涨。长沙气温骤降 连卖烤红薯的大爷也悄悄提了价(图),11月23日 09:06?来自WeiInf,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1240116644,,微博[607],关注[96],粉丝[128]
756,AMAX中国,:未来4年大数据产业将撬动千亿http://t.cn/Rfcq8Lz,11月23日 09:06?来自搜狗高速浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/amaxit,认证：苏州超集信息科技有限公司,微博[3559],关注[470],粉丝[5378]
757,成华服务,:【成都获评“2016中国领军智慧城市”】#小微有态度#在2016亚太智慧城市颁奖评选活动中，成都脱颖而出被评为“2016中国领军智慧城市”。近年来，成都以标准促智能，着力改善提升网络基础设施，加强大数据发展顶层设计和制度建设，加强网络信息安全管理，加快大数据企业培育与载体建设，加快智慧城市建设,11月23日 09:06?来自360安全浏览器,no,yes,赞[0]</a>,转发[3]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3245212792,认证：四川省成都市成华区人民政府政务服务中心官方微博,微博[19120],关注[1049],粉丝[171569]
758,成华服务,:【成都获评“2016中国领军智慧城市”】#小微有态度#在2016亚太智慧城市颁奖评选活动中，成都脱颖而出被评为“2016中国领军智慧城市”。近年来，成都以标准促智能，着力改善提升网络基础设施，加强大数据发展顶层设计和制度建设，加强网络信息安全管理，加快大数据企业培育与载体建设，加快智慧城市建设,11月23日 09:06?来自360安全浏览器,no,yes,赞[0]</a>,转发[3]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3245212792,认证：四川省成都市成华区人民政府政务服务中心官方微博,微博[19120],关注[1049],粉丝[171569]
759,第一工业传媒No1,:大数据支撑下的建材企业的转型抉择：如今通过大数据的直观呈现，可以发现用户对品牌选择的关联性，关联性占比较高的品牌可主动联合，为用户提供优惠营销或服务互动，从而真正满足消费者的需求。...文字版>> http://t.cn/Rfo9EJD （新浪长微博>> 还在为微博的140字烦恼？你out啦~快来试试新浪博客的长微博工具吧！把你想说的话，想分享的照片合成一条微博发布。）,11月23日 09:05?来自新浪博客,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/No1ind,www.No1ind.com是以《中国制造2025》为纲领的新锐工业平台，帮...,微博[387],关注[102],粉丝[48]
760,智能制造网IM2025,":精准医疗已拉开帷幕 众家齐议挖掘医健领域潜力_大数据,医疗大数据,智能制造及工业4.0-中国智能制造网 http://t.cn/Rfo9Qj5",11月23日 09:04?来自百度分享,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/gkzhan,认证：浙江兴旺宝明通网络有限公司,微博[8283],关注[115],粉丝[2252]
761,苕棒头,:分享@并读  :谁泄露了你的信息?警惕“大数据”泄露信息http://t.cn/Rfo9YFI,11月23日 09:04?来自并读,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1292195301,,微博[2150],关注[116],粉丝[58]
762,老刘说农业,:2050年大数据农业如何喂饱全球近百亿人口？35年！大数据农业如何喂饱百亿人 http://t.cn/Rfo9O6B,11月23日 09:03?来自老刀_农管家,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/336336786,认证：山东益迪农业技术服务有限公司刘仁堂,微博[206],关注[387],粉丝[168]
763,nicedoc,:『Hadoop、Spark等5种大数据框架对比，你的项目该用哪种？』Hadoop、Spark等5种大数据框架对比，你的项目该用哪种？,11月23日 09:01?来自Smartisan M1L,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/li3p,东方欲晓，莫道君行早；踏遍青山人未老，这边风景独好。,微博[873],关注[90],粉丝[124]
764,同创教育官博,【写给大数据开发初学者的话】经常有初学者在博客和QQ问我，自己想往大数据方向发展，该学哪些技术，学习路线是什么样的，觉得大数据很火，就业很好，薪资很高。。。。。。。写给大数据开发初学者的话（来自： lxw的大数据田地 ）,11月23日 09:00?来自荣耀畅玩5X 全网通,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5833089876,认证：福州同创志恒网络科技有限公司,微博[1069],关注[47],粉丝[354]
765,IT程序猿,:【写给大数据开发初学者的话】经常有初学者在博客和QQ问我，自己想往大数据方向发展，该学哪些技术，学习路线是什么样的，觉得大数据很火，就业很好，薪资很高。。。。。。。写给大数据开发初学者的话（来自： lxw的大数据田地 ）,11月23日 09:00?来自酷勤网,no,yes,赞[57]</a,转发[92]</a>?<a ,评论[25]</a>?<a ,http://weibo.cn/kuqin,认证：IT程序猿（ithao123.com）官方微博,微博[44150],关注[2018],粉丝[890144]
766,奥达索的鬼符,:规划日报326：腾讯大数据下的“城市社团”星云图 规划日报326：腾讯大数据下的“城市社团”星云图,11月23日 08:59?来自搜狗高速浏览器,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2385884624,要做就做最好,微博[8218],关注[45],粉丝[78]
767,盘之感,:关注个股利好：   中国化学签订62亿元电站工程总承包合同；中国铁建中标27亿BOT项目；东华科技中标10亿元PPP项目；达实智能中标1.47亿元智慧医疗项目；远大智能中标1.22亿元项目；航天机电减持国泰君安获利1.72亿元；东方通获中国大数据产业应用协同创新联盟黑马奖；友邦吊顶年报拟10派5；豫光金铅定?全文,11月23日 08:59?来自搜狗高速浏览器,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5920731718,感恩，平常心，有助你对事物看得更清，更理性！万事有其规律，...,微博[3803],关注[308],粉丝[12036]
768,宿州市审计局,:为适应经济发展新常态，把握审计发展新需求，更好发挥审计在保障重大决策部署，贯彻落实、维护经济安全、推动审计深化改革、促进依法审计、推进廉政建设的重要作用。近日，宿州市审计局印发《关于加强审计大数据运用的通知》，进一步强化全市各级审计机关运用大数据审计水平，推广“总体分析、发现疑点?全文,11月23日 08:54?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3605212393,认证：安徽省宿州市审计局官方微博,微博[1664],关注[105],粉丝[5883]
769,合肥寰景,:【大数据技术在金融行业有哪些应用前景？】大数据技术在金融行业有哪些应用前景？ - 知乎,11月23日 08:53?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/vrview,认证：合肥寰景信息技术有限公司,微博[2253],关注[219],粉丝[2924]
770,梧桐果校园招聘,:梧桐果与你一起看大数据背景下大学生求职就业。梧桐果创始人吴强先生关于校园招聘大数据分析的精彩演讲 （分享自 @优酷） 梧桐果创始人吴强先生关于校园招聘大数据分析的精彩演讲,11月23日 08:49?来自优酷土豆,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5896969764,认证：网聚精英（北京）信息技术有限公司,微博[148],关注[52],粉丝[11159]
771,传新网,:#传新考研#【真题解读――数据新闻】  近几年，大数据（Big Data）的概念甚嚣，成为时新的热词。但是，大数据长期以来都是“只见楼梯响，不见人下来”，我国对大数据的应用还比较滞后。 新闻传播学考研真题中，同样显示了这一特点。每年考生们都把“大数据”及“数据新闻”当做热点去复习，但对其进行?全文,11月23日 08:48?来自微博 weibo.com,no,yes,赞[0]</a>,转发[2]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/chuanxinwang,认证：传新网http://chuanxinwang.cn官方微博,微博[5989],关注[526],粉丝[4571]
772,集微网官网,:人工智能大数据火爆带热离职潮 平均离职率达44% 负责一家互联网金融公司大数据业务线的HR陈晨这几天忙着在各大招聘网站刷简历，年底了，按常理人员流动应该减少了，忙活了一年，至少得拿着年终奖走人吧。今年却有些不按常理出牌了，“这个行业挖人挖得太凶了!是2015年唯一超过行业整体平均离职率的板块。,11月23日 08:48?来自微博 weibo.com,no,yes,赞[4]</a>,转发[2]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/laoyaoba,认证：集成电路社区集微网官方微博,微博[97028],关注[98],粉丝[4814439]
773,昆明市社科联,:大数据会给期刊评价带来哪些变革？秦开凤 中国社会科学网精华版“目前大数据在学术评价方面的应用存在两个误区，即“大数据迷信”和“定量评价”。“以刊评文”模式是“传统”期刊的评价模式，然而这种模式的弊端和不足在业界出现了广泛讨论。讨论中，“以刊评文”模式完全归为量化评价的观点认为?全文,11月23日 08:44?来自华为Ascend手机,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3806199613,认证：云南省昆明市社会科学界联合会官方微博,微博[3592],关注[495],粉丝[510]
774,随心所欲混世界,“广东省男科学会主任委员，广州中山大学第一附属医院泌尿外科主任医师邓春华教授告诉《瞭望东方周刊》，医学界对于男性性器官勃起有着一个“四级硬度”分类标准：1级最差，硬度类似软豆腐；2级稍好，硬度类似扒皮香蕉；3级属于勉强合格，硬度与带皮香蕉相仿；4级为最好，硬度等同于新鲜黄瓜。    中?全文,11月23日 08:42?来自三星GALAXY A,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/nancyzhu1987,,微博[1641],关注[133],粉丝[507]
775,InfoQ,:【Hadoop、Spark等5种大数据框架对比，你的项目该用哪种？】本文将介绍并对比5种主流大数据框架，助你更深层次了解这些框架，从而在项目中更好地使用它们。  Hadoop、Spark等5种大数据框架对比，你的项目该用哪种？,11月23日 08:41?来自微博 weibo.com,no,yes,赞[11]</a,转发[24]</a>?<a ,评论[1]</a>?<a h,http://weibo.cn/infoqchina,认证：极客邦控股（北京）有限公司,微博[17993],关注[1075],粉丝[93818]
776,合肥寰景,:【大数据技术在金融行业有哪些应用前景？】大数据技术在金融行业有哪些应用前景？ - 知乎,11月23日 08:38?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/vrview,认证：合肥寰景信息技术有限公司,微博[2253],关注[219],粉丝[2924]
777,华山大肉粽,锦绣未央的高收视让我心寒。原作者抄了200部小说，还和于正联手。成为文学大师so easy？ 关于锦绣未央抄袭案，很多人觉得秦简抄袭能抄两百多本，至少说明她阅读量惊人，事实上，还真不是。网络小说的抄袭早就自成一体，产业化起来了。今天就教大家怎么用最小的成本日更万字，成为网络小说界的巨巨，说不定下一本卖出影视版权的就是你。,11月23日 08:37?来自五感丧失的iPhone,yes,no,赞[0]</a>,转发[48]</a>?<a ,评论[0]</a>?<a h,http://weibo.cn/mitsuki,有时吃药有时弃疗||万氏审美附体||Hello Harold||要么我们就看...,微博[24614],关注[393],粉丝[744]
